observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5938,1135,Kasaragod,4866,36,2163,4803,7068,40
13868,1486,Kannur,3878,35,1918,12382,5834,122
2896,490,Wayanad,1533,5,473,2406,2011,59
17375,2163,Kozhikode,6013,42,2169,15212,8229,332
36710,1951,Malappuram,9533,35,2783,34759,12357,294
8783,1127,Palakkad,4764,7,1303,7656,6075,175
11070,1343,Thrissur,4500,25,2064,9727,6591,213
23010,1771,Ernakulam,5880,46,2862,21239,8795,188
6543,357,Idukki,1746,3,483,6186,2233,27
18873,1758,Kottayam,3889,3,2106,17115,5998,204
9554,1801,Alappuzha,5715,19,1935,7753,7671,200
6383,1157,Pathanamthitta,3410,3,1270,5226,4684,93
18456,1855,Kollam,4414,26,2271,16601,6714,265
23841,3783,Thiruvananthapuram,15707,140,5005,20058,20879,364
203300,22177,Total,75848,425,28805,181123,105139,2576
