total_hospitalized,isolation,observation,district,hospitalized_today,active
41,2552,2593,Kasaragod,1,17
107,2435,2542,Kannur,15,56
7,1171,1178,Wayanad,2,1
48,1632,1680,Kozhikode,17,14
94,2583,2677,Malappuram,42,2
73,3441,3514,Palakkad,30,6
11,736,747,Thrissur,1,0
22,272,294,Ernakulam,9,2
10,1409,1419,Idukki,6,4
3,236,239,Kottayam,2,3
6,1329,1335,Alappuzha,3,0
7,411,418,Pathanamthitta,3,3
10,1498,1508,Kollam,3,6
43,1538,1581,Thiruvananthapuram,10,2
482,21243,21725,Total,144,116
