recovered,active,isolation,deaths,hospitalized_today,observation,total_hospitalized,confirmed,district
16601,2165,4021,69,30,4538,517,18839,Kasaragod
19987,5190,19256,112,76,20209,953,25294,Kannur
6260,935,7898,13,15,8457,559,7208,Wayanad
40588,8591,24286,138,210,26816,2530,49323,Kozhikode
43938,8792,58751,150,186,60353,1602,52888,Malappuram
19553,7453,15399,57,141,16582,1183,27064,Palakkad
31075,9928,23837,129,346,26457,2620,41136,Thrissur
35067,12073,29242,154,261,31586,2344,47305,Ernakulam
5838,1560,10974,9,48,11356,382,7409,Idukki
18787,5476,16618,49,256,18732,2114,24313,Kottayam
26015,7771,11487,105,448,12983,1496,33907,Alappuzha
12969,2397,9161,12,122,10282,1121,15379,Pathanamthitta
28284,6123,15373,117,85,16715,1342,34530,Kollam
50981,8227,25441,419,213,28155,2714,59673,Thiruvananthapuram
355943,86681,271744,1533,2437,293221,21477,444268,Total
