active,deaths,isolation,hospitalized_today,recovered,district,observation,confirmed,total_hospitalized
1785,74,5897,49,18951,Kasaragod,6326,20814,429
3616,144,16069,70,26391,Kannur,16766,30156,697
1128,21,11106,57,8032,Wayanad,11653,9181,547
6918,169,23669,235,54486,Kozhikode,25391,61580,1722
6951,203,76168,143,56383,Malappuram,77330,63546,1162
5411,73,15543,123,28252,Palakkad,16692,33739,1149
7741,192,26406,211,45448,Thrissur,28279,53386,1873
9059,198,29193,208,49981,Ernakulam,30822,59249,1629
2067,11,14274,69,7884,Idukki,14669,9964,395
3771,79,18406,203,27285,Kottayam,19935,31137,1529
7726,132,12037,268,35378,Alappuzha,13579,43253,1542
2034,16,9549,103,16278,Pathanamthitta,10240,18329,691
4434,147,17707,135,38727,Kollam,19096,43315,1389
5590,510,25523,257,61844,Thiruvananthapuram,27247,67992,1724
68231,1969,301547,2131,475320,Total,318025,545641,16478
